filename,pillar #,method,width (nm),height (nm),volume (nm^3),error height (nm),error volume (nm^3)
B1_52a2T,7.0,cone,89.03136,92.84027979743834,192659.78987516902,3.815458570457708,5838.852755983755
B1_52a2T,7.0,cylinder,89.03136,92.84027979743834,577979.369625507,3.815458570457708,17516.558267951266
B1_52a2T,7.0,pillar,89.03136,92.84027979743834,372461.08575741766,3.815458570457708,35030.06870660568
B1_52a2T,8.0,cone,94.42720000000001,128.29691224510393,299487.7443094524,3.815458570457708,8557.312535836076
B1_52a2T,8.0,cylinder,94.42720000000001,128.29691224510393,898463.2329283573,3.815458570457708,25671.93760750823
B1_52a2T,8.0,pillar,94.42720000000001,128.29691224510393,616253.3998538487,3.815458570457708,51341.53594701938
B1_52a2T,9.0,cone,97.12512000000001,161.28706275076757,398319.2507382833,3.815458570457708,11064.848962323935
B1_52a2T,9.0,cylinder,97.12512000000001,161.28706275076757,1194957.7522148502,3.815458570457708,33194.546886971795
B1_52a2T,9.0,pillar,97.12512000000001,161.28706275076757,827807.632154223,3.815458570457708,66387.17979496825
B1_52b1T,1.0,cone,53.958400000000005,76.03784883324327,57958.42498870541,3.815458570457708,2898.422430594453
B1_52b1T,1.0,cylinder,53.958400000000005,76.03784883324327,173875.27496611624,3.815458570457708,8695.267291783359
B1_52b1T,1.0,pillar,53.958400000000005,76.03784883324327,100858.51842013933,3.815458570457708,17388.279317103992
B1_52b1T,2.0,cone,64.75008000000001,101.16561088308214,111040.69047289957,3.815458570457708,4627.147489242883
B1_52b1T,2.0,cylinder,64.75008000000001,101.16561088308214,333122.07141869876,3.815458570457708,13881.442467728652
B1_52b1T,2.0,pillar,64.75008000000001,101.16561088308214,193733.85826290608,3.815458570457708,27760.850722376883
B1_52b1T,3.0,cone,70.14592,136.62224333074803,175992.7874881723,3.815458570457708,6769.316002184158
B1_52b1T,3.0,cylinder,70.14592,136.62224333074803,527978.3624645169,3.815458570457708,20307.94800655247
B1_52b1T,3.0,pillar,70.14592,136.62224333074803,320723.10874777875,3.815458570457708,40614.264156387886
